"Name","Location","Type","Namespace","Source"
"remapIconPosition","006e6b80","Function","RemapButtonIcon","User Defined"
"remapIconSize","006e6ee0","Function","RemapButtonIcon","User Defined"
"remapMessageInputData","006e7180","Function","RemapButtonIcon","User Defined"
"remapUIButtonData","006e7430","Function","RemapButtonIcon","User Defined"
"remapUIButtonPosition","006e75a0","Function","RemapButtonIcon","User Defined"
"sGetInstance","006e7840","Function","RemapButtonIcon","User Defined"
"mspace_free","006ec020","Function","Global","User Defined"
"mspace_memalign","006eca10","Function","Global","User Defined"
"FFXVu0UnitMatrix","006ecfa0","Function","Global","User Defined"
"FFXVu0ApplyMatrix","006ed420","Function","Global","User Defined"
"FFXVu0CopyMatrix","006ed4a0","Function","Global","User Defined"
"FFXVu0CopyVector","006ed4b0","Function","Global","User Defined"
"FFXVu0DivVectorXYZ","006ed560","Function","Global","User Defined"
"FFXVu0InversMatrix","006ed590","Thunk Function","Global","User Defined"
"sceVu0InversMatrix4x4","006ed5a0","Function","Global","User Defined"
"FFXVu0LightColorMatrix","006ed630","Function","Global","User Defined"
"FFXVu0MulMatrix","006ed700","Thunk Function","Global","User Defined"
"FFXVu0NormalLightMatrix","006ed760","Function","Global","User Defined"
"FFXVu0Normalize","006ed830","Function","Global","User Defined"
"FFXVu0OuterProduct","006ed860","Function","Global","User Defined"
"FFXVu0RotMatrixX","006ed8c0","Function","Global","User Defined"
"FFXVu0RotMatrixY","006ed900","Function","Global","User Defined"
"FFXVu0RotMatrixZ","006ed940","Function","Global","User Defined"
"FFXVu0UnitMatrix","006edae0","Function","Global","User Defined"
"crossAssertIsValidFloat","006ef410","Function","Global","User Defined"
"instance","006f21b0","Function","SaveDataManager","User Defined"
"isSaveEnabled","006f22d0","Function","SaveDataManager","User Defined"
"setCbResult","006f2640","Function","SaveDataManager","User Defined"
"crossCreateMutex","006f2f20","Function","Global","User Defined"
"crossLockMutex","006f3010","Function","Global","User Defined"
"crossUnlockMutex","006f3090","Function","Global","User Defined"
"getAssetCount","006f42b0","Function","AssetListReader","User Defined"
"getAssetPath","006f42f0","Function","AssetListReader","User Defined"
"isModel","006f47f0","Function","AssetListReader","User Defined"
"appendLine","006f5f70","Function","TextUtil","User Defined"
"doOnAllTextUtilAssetsLoaded","006f61e0","Function","TextUtil","User Defined"
"init","006f64b0","Function","TextUtil","User Defined"
"onTextUtilAssetLoaded","006f6530","Function","TextUtil","User Defined"
"setEnabled","006f6a30","Function","TextUtil","User Defined"
"SpdCtrl_ScaleElapsedTime","006f7430","Function","Global","User Defined"
"UnloadMagicfilePrx","006f9e00","Function","PhyreFIOS","User Defined"
"registCommandAsync","006fa360","Function","FmodManager","User Defined"
"registCommandAsync","006fa380","Function","FmodManager","User Defined"
"registCommandAsync","006fa3e0","Function","FmodManager","User Defined"
"registCommandSync","006fa560","Function","FmodManager","User Defined"
"registCommandSync","006fa5e0","Function","FmodManager","User Defined"
"user_aligned_free","006fb7a0","Function","Global","User Defined"
"user_aligned_malloc","006fb850","Function","Global","User Defined"
"user_free","006fb990","Function","Global","User Defined"
"user_realloc","006fbbe0","Function","Global","User Defined"
"SafeNormalize3","007042f0","Function","cdc::Vector","User Defined"
"GeneralInverse4x4","00704ec0","Function","cdc","User Defined"
"Mul4x4","007059e0","Function","cdc","User Defined"
